station,horizon,rank,timestamp,actual_tecu,predicted_tecu,error_tecu,abs_error_tecu,kp_index,imf_bz,dst_index
colombo,6h,1,2023-04-13 23:00:00,4.22,91.96,-87.74,87.74,2.0,-0.4,-1.0
colombo,6h,2,2023-11-20 23:00:00,-5.73,76.55,-82.27,82.27,1.0,-0.2,21.0
colombo,6h,3,2024-02-24 23:00:00,3.01,83.93,-80.91,80.91,2.3,2.4,-10.0
colombo,6h,4,2023-04-13 22:00:00,4.67,79.96,-75.29,75.29,2.0,-0.7,0.0
colombo,6h,5,2023-11-20 22:00:00,-6.54,65.47,-72.01,72.01,1.0,2.8,17.0
colombo,6h,6,2024-02-24 22:00:00,3.24,72.07,-68.82,68.82,2.3,2.7,-9.0
colombo,6h,7,2023-11-20 21:00:00,-7.36,52.45,-59.81,59.81,1.0,0.7,14.0
colombo,6h,8,2023-04-13 21:00:00,5.12,59.42,-54.3,54.3,2.0,-1.4,1.0
colombo,6h,9,2024-02-24 21:00:00,3.47,56.0,-52.53,52.53,2.3,6.3,-13.0
colombo,6h,10,2023-11-05 20:00:00,84.15,33.47,50.67,50.67,6.7,-9.1,-149.0
